1,4,57
2,4,21
3,4,34
4,4,318
5,4,67
6,4,87
7,4,50
8,4,47
9,4,46
10,4,167
11,4,183
12,4,42
13,4,65
14,4,868
15,4,42
16,4,118
17,4,61
18,4,46
19,4,26
20,4,48
21,4,82
22,4,69
23,4,507
24,4,243
25,4,70
26,4,35
27,4,46
28,4,33
29,4,53
30,4,62
31,4,102
32,4,25
33,4,71
34,4,25
35,4,169
36,4,43
37,4,31
38,4,107
39,4,189
40,4,55
41,4,4
42,4,21
43,4,18
44,4,13
45,4,73
46,4,58
47,4,202
48,4,42
49,4,46
50,4,57
51,4,245
52,4,19
53,4,56
54,4,50
55,4,17
56,4,64
57,4,186
58,4,134
59,4,37
60,4,89
61,4,110
62,4,46
63,4,45
64,4,427
65,4,52
66,4,78
67,4,98
68,4,55
69,4,195
70,4,41
71,4,47
72,4,488
73,4,21
74,4,192
75,4,423
76,4,49
77,4,448
78,4,281
79,4,50
80,4,192
81,4,100
82,4,40
83,4,102
84,4,17
85,4,52
86,4,40
87,4,129
88,4,257
89,4,52
90,4,23
91,4,18
92,4,18
93,4,45
94,4,83
95,4,79
96,4,24
97,4,69
98,4,55
99,4,28
